specimen_id,longitude,latitude,caffeine_percent
C_dubardii_A969,47.863889,-21.3825,0.0
C_abbayesii_A601,47.863889,-21.3825,0.0
C_arenesiana_A403,47.928889,-18.919722,0.0
C_millotii_A222,49.861111,-14.401111,0.0
C_perrieri_A12,44.288056,-22.820833,0.0
C_richardii_A575,50.041667,-14.101389,0.03
C_perrieri_A12,44.287778,-22.820556,0.0
C_richardii_A575,50.042222,-14.108333,0.03
C_bertrandii_A5,46.674722,-25.122222,0.0
C_homollei_A945,48.581389,-19.163056,0.06
C_perrieri_A12,46.673333,-24.798889,0.0
C_arenesiana_A403,47.5331,-18.939287,0.0
C_tetragona_A252,44.497196,-18.032096,0.03
C_humbertii_RNF785,44.632515,-23.650485,0.0
C_pervilleana_A957,44.497196,-18.032096,0.0
C_tetragona_A252,48.5,-13.78333,0.03
C_tetragona_A252,47.99889,-13.77222,0.03
C_pervilleana_A957,44.56139,-18.11778,0.0
C_tetragona_A252,44.50722,-18.04778,0.03
C_pervilleana_A957,44.31583,-18.03361,0.0
C_perrieri_A12,44.47222,-17.93972,0.0
C_perrieri_A12,44.56194,-18.11139,0.0
C_dubardii_A969,49.1725,-12.48778,0.0
C_millotii_A222,49.7904,-16.474388,0.0
C_richardii_A575,49.411718,-17.780204,0.03
C_richardii_A575,49.0,-17.0,0.03
C_resinosa_A8,49.0,-17.0,0.0
C_millotii_A222,47.0,-23.0,0.0
C_resinosa_A8,47.0,-23.0,0.0
C_resinosa_A8,48.7,-13.58,0.0
C_dubardii_A969,49.7,-13.18,0.0
C_dubardii_A969,49.7,-13.18,0.0
C_humbertii_RNF785,44.58,-22.92,0.0
