,env_71_alt,env_72_slo,env_73_asp,env_74_solrad,env_75_geo,env_76_soi,env_77_veg,env_78_wat,env_79_forcov,caffeine_class
239,143.0,10.0,274.0,7580.0,10.0,10.0,14,2.0,99.0,Low
240,206.0,20.0,187.0,6815.0,10.0,6.0,14,1.0,74.0,Low
241,55.0,6.0,277.0,7692.0,10.0,10.0,16,2.0,0.0,Low
242,160.0,11.0,284.0,7929.0,6.0,20.0,5,1.0,55.0,Absent
243,98.0,4.0,52.0,7811.0,9.0,18.0,5,8.0,49.0,Absent
244,1466.0,14.0,162.0,7496.0,10.0,9.0,14,14.0,100.0,Low
245,1090.0,14.0,214.0,7244.0,10.0,9.0,14,2.0,100.0,Low
246,1084.0,15.0,332.0,8277.0,10.0,9.0,14,14.0,85.0,Low
247,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
248,1438.0,5.0,319.0,8187.0,10.0,9.0,6,14.0,59.0,Low
249,136.0,5.0,287.0,7919.0,7.0,22.0,5,13.0,44.0,Absent
250,135.0,1.0,184.0,7371.0,5.0,15.0,7,6.0,30.0,Absent
251,1009.0,4.0,276.0,7805.0,11.0,7.0,14,2.0,66.0,Absent
253,46.0,8.0,263.0,7236.0,9.0,21.0,16,4.0,0.0,Absent
254,8.0,3.0,292.0,7574.0,1.0,21.0,16,3.0,32.0,Absent
256,14.0,1.0,234.0,7606.0,2.0,21.0,15,2.0,24.0,Absent
258,13.0,1.0,213.0,7688.0,1.0,21.0,16,2.0,59.0,Absent
259,13.0,1.0,213.0,7688.0,1.0,21.0,16,2.0,59.0,Absent
260,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0,Absent
261,60.0,5.0,158.0,7521.0,10.0,10.0,16,2.0,3.0,Absent
262,297.0,9.0,341.0,8098.0,10.0,6.0,14,1.0,74.0,Low
263,254.0,13.0,125.0,7332.0,10.0,11.0,4,2.0,0.0,Absent
264,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0,Absent
265,163.0,21.0,316.0,7862.0,10.0,10.0,16,2.0,19.0,Low
266,19.0,1.0,111.0,7712.0,1.0,19.0,16,2.0,99.0,Absent
267,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0,Absent
268,427.0,13.0,161.0,6633.0,9.0,22.0,7,6.0,0.0,Absent
269,372.0,12.0,271.0,7183.0,9.0,22.0,12,6.0,99.0,Absent
270,686.0,16.0,212.0,6663.0,6.0,22.0,22,18.0,8.0,Absent
271,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0,Absent
272,165.0,12.0,351.0,8037.0,9.0,9.0,16,14.0,58.0,Low
274,130.0,2.0,42.0,7790.0,7.0,20.0,1,8.0,15.0,Absent
275,175.0,7.0,31.0,7933.0,7.0,20.0,7,8.0,52.0,Absent
276,170.0,4.0,340.0,7887.0,7.0,6.0,5,13.0,2.0,Absent
277,170.0,4.0,340.0,7887.0,7.0,6.0,5,13.0,2.0,Absent
280,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
281,9.0,1.0,121.0,7701.0,1.0,21.0,16,2.0,0.0,Absent
282,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
283,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
284,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
285,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
286,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
287,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
288,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
289,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Low
290,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
291,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
292,78.0,6.0,11.0,7706.0,10.0,11.0,16,3.0,0.0,Low
294,8.0,3.0,292.0,7574.0,1.0,21.0,16,3.0,32.0,Absent
295,45.0,7.0,123.0,7141.0,10.0,7.0,14,4.0,90.0,Absent
297,14.0,1.0,234.0,7606.0,2.0,21.0,15,2.0,24.0,Absent
298,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
299,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
300,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
301,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
302,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
303,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
304,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
305,5.0,1.0,2.0,7543.0,6.0,19.0,16,3.0,1.0,Absent
306,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,High
307,822.0,3.0,228.0,7435.0,6.0,16.0,22,6.0,100.0,Absent
308,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
309,13.0,1.0,213.0,7688.0,1.0,21.0,16,2.0,59.0,Absent
310,822.0,3.0,228.0,7435.0,6.0,16.0,22,6.0,100.0,Absent
311,78.0,6.0,11.0,7706.0,10.0,11.0,16,3.0,0.0,Low
312,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
313,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
314,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
315,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
316,169.0,5.0,223.0,7472.0,7.0,20.0,5,8.0,21.0,Absent
318,83.0,4.0,290.0,7884.0,9.0,8.0,7,1.0,9.0,Absent
319,51.0,1.0,132.0,7898.0,1.0,4.0,6,1.0,0.0,Absent
320,79.0,2.0,108.0,7900.0,7.0,16.0,6,1.0,0.0,Absent
321,71.0,6.0,85.0,7863.0,7.0,4.0,6,1.0,0.0,Absent
322,184.0,3.0,313.0,7969.0,9.0,8.0,7,1.0,3.0,Absent
324,66.0,1.0,290.0,7918.0,9.0,4.0,13,1.0,0.0,Absent
325,731.0,6.0,189.0,8019.0,9.0,8.0,7,1.0,47.0,Absent
326,60.0,5.0,158.0,7521.0,10.0,10.0,16,2.0,3.0,Absent
327,185.0,4.0,54.0,7925.0,6.0,16.0,2,9.0,43.0,Absent
328,297.0,9.0,341.0,8098.0,10.0,6.0,14,1.0,74.0,Low
329,1034.0,10.0,280.0,8078.0,9.0,18.0,14,12.0,100.0,Absent
330,680.0,2.0,288.0,7571.0,6.0,16.0,22,6.0,100.0,Absent
331,822.0,3.0,228.0,7435.0,6.0,16.0,22,6.0,100.0,Absent
332,2.0,1.0,213.0,7336.0,9.0,21.0,7,4.0,1.0,Absent
