specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
resinosa_1443,4326,49.234,-18.595139,POINT (947021.0588626126 7938694.882673698),9,0,False,14.0,1.0,234.0,7606.0,2.0,21.0,15.0,2.0,24.0
millotii_1445,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
millotii_1447,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
millotii_1448,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
millotii_1449,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
millotii_1450,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
millotii_1451,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
millotii_1452,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
resinosa_1460,4326,48.554167,-20.3725,POINT (871083.6199276892 7743286.659036701),9,0,False,5.0,1.0,2.0,7543.0,6.0,19.0,16.0,3.0,1.0
mangoroensis_1467,4326,47.871056,-21.377389,POINT (797721.081808479 7633364.192272253),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
