,specimen_id,longitude,latitude
886, dubardii Jum._886,49.1725,-12.487778
887, dubardii Jum._887,49.218333,-12.578889
888, perrieri Drake ex Jum. & H. Perrier_888,44.561944,-18.111389
889, richardii J.-F. Leroy_889,49.340278,-18.057222
890, richardii J.-F. Leroy_890,50.0,-14.1
891, toshii A.P. Davis & Rakotonas._891,46.955,-22.496667
892, perrieri Drake ex Jum. & H. Perrier_892,44.156111,-22.718056
894, perrieri Drake ex Jum. & H. Perrier_894,44.145556,-22.707778
896, toshii A.P. Davis & Rakotonas._896,46.955,-22.496667
897, sakarahae J.-F. Leroy_897,44.158889,-22.687222
898, grevei Drake ex A. Chev._898,44.483333,-20.166667
899, millotii J.-F. Leroy_899,48.556111,-19.158611
900, dubardii Jum._900,49.1725,-12.487778
901, dubardii Jum._901,49.218333,-12.578889
902, richardii J.-F. Leroy_902,50.0,-14.1
903, perrieri Drake ex Jum. & H. Perrier_903,44.561944,-18.111389
904, tricalysioides J.-F. Leroy_904,49.152222,-12.583611
907, richardii J.-F. Leroy_907,49.308889,-17.956667
909, tetragona Jum. & H. Perrier_909,47.99,-13.77
910, mogenetii Dubard_910,49.765833,-13.219722
911, rupicola A.P. Davis & Rakotonas._911,49.55,-13.22
912, microdubardii A.P. Davis & Rakotonas._912,49.61,-13.26
913, mangoroensis Portères_913,48.429445,-18.930556
914, heimii J.-F. Leroy_914,49.583333,-12.970278
915, tetragona Jum. & H. Perrier_915,47.99,-13.77
916, bonnieri Dubard_916,48.08,-13.75
918, bonnieri Dubard_918,48.08,-13.75
919, pustulata A.P. Davis & Rakotonas._919,49.603611,-13.240555
920, microdubardii A.P. Davis & Rakotonas._920,49.61,-13.26
921, bonnieri Dubard_921,48.08,-13.75
922, rupicola A.P. Davis & Rakotonas._922,49.55,-13.22
923, jumellei J.-F. Leroy_923,44.146944,-22.655278
924, abbayesii J.-F. Leroy_924,47.136111,-24.842778
930, mangoroensis Portères_930,48.437222,-18.832778
931, richardii J.-F. Leroy_931,49.990556,-14.112778
