env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt,caffeine_percent
1.022312537137399,74.27283451246795,0.3185261298631305,171.65696690463756,59.982160502771556,19.57770014553566,0.007593606996197294,-0.03382761000400547,2539.450801174266,0.9528845766851961,1.0071034739480735,49.64012712879924,0.002946678900811663,0.9905749101026318,225.330051657711,0.0596324839884875
0.9848665431940934,74.66969563719309,17.0703424148318,172.00542537330708,59.998480755074716,30.116498702899356,0.030561141482902718,0.012761305120017632,2511.5327926552372,1.001919119810816,1.1071018894741744,167.45340991474885,0.03836693523643031,1.030615814869037,76.21504964834989,0.030906936095119446
0.0017570764606327834,111.39481535824844,98.41694525500125,168.22231538017036,71.11051909774172,443.2938209197023,0.02364983144443881,0.05119434735151154,1229.9358333217779,-0.005785608824936613,7.090088458840591,179.46499492721696,1.0045225249832388,-0.0005595403884879415,308.1729737362777,0.030600618206294006
1.0072941124879549,91.70843652089194,-1.0643928017323803,147.78015605917966,59.858809221991294,-7.426538285591885,0.01420200917346859,0.9843911857769572,2231.617662689359,-0.006148656927175345,0.9214657583523836,285.8950970246368,-0.0019221046796304363,0.05209732850793573,45.08092660394215,0.032691223092094684
-0.013106452913636777,63.13565805433947,99.89893969548483,102.6289457244187,71.23648757284657,115.92492894060769,0.9981250865140648,0.009065872162279626,2190.878071159194,0.0019530060190007142,6.022467149611605,164.75144164876517,0.9558522375123836,0.028094159872684585,1448.832024847698,0.02989007842680636
-0.005156556063325456,77.1121487186863,98.85400308008445,112.16332603551975,63.91353441211517,-11.343139763750905,1.0103549656834208,-0.03161652699223032,2252.2810413040966,0.016048215664269165,1.1112792666155393,175.9364445093409,0.9718525694579262,-0.03429565452977343,639.5807959404159,0.029627053158042555
0.06453256580413684,93.75147569349406,4.958312934330095,153.97249664163303,60.39640055755545,-8.477817728862899,-0.0047892907729855895,1.0172058957464014,2200.2564169488865,0.0469647717221587,1.0482610903601182,105.60046558068636,-0.022112750897317804,-0.019668012763924457,51.2092534150478,0.016948828109519608
0.9751265272211522,91.43196277487496,42.635039602765794,150.5004468949257,60.03161776250116,21.18674582375895,-0.006384123465080806,0.9746403178522228,2215.5210394397177,0.003586566719291955,0.8669555033736323,295.81671145224163,0.018784143004119735,-0.04714168540367527,31.496937271239634,0.020207535293137353
-0.0016066106536893254,65.58588709671598,100.52227734881247,106.5970677892906,66.10068958847393,190.21151396761582,0.9945259844710319,0.0210931302958927,2489.193467943138,-0.008839473270856033,7.146319675305771,23.174644208117424,-0.014959246004414568,-0.007803990413562501,990.5823932950086,0.030694852645107257
0.03433529861425945,100.2835607060831,-1.1551747329029598,80.32564348949532,65.10558822886517,675.3745480151553,0.005214474863177799,-0.005980098985645695,1881.2668061454451,0.010845778945953548,7.906962988800771,361.73960585142095,-0.02245803163133869,0.005328317685351397,67.12256020797254,0.043260750584939237
-0.028625053910852797,91.15573574675975,66.59225976428417,106.65652404821047,67.03716190961282,552.1423777766405,0.014701167424069702,0.022151180640804638,1836.7731300000125,-0.02845551991178065,8.000631618256513,205.47976409114673,-0.006192132097056749,-0.02647996516612046,240.4167130959414,0.048539778536571154
